,0,,,,,,,,,,,,,,,,,
0,0.100013511,,,,,,,,,,,,,,,,,
1,0.100018056,,,,,,,,,,,,,,,,,
2,0.100033827,,,,,,,,,,,,,,,,,
3,0.10001603,,,,,,,,,,,,,,,,,
4,0.100030821,,,,,,,,,,,,,,,,,
5,0.10003695,,,,,,,,,,,,,,,,,
6,0.100011388,,,,,,,0.100013511,0.100018056,0.100033827,0.10001603,0.100030821,0.10003695,0.100011388,0.100048098,0.100060829,0.100155191,0.100087647
7,0.100048098,,,,,,,,,,,,,,,,,
8,0.100060829,,,,,,,,,,,,,,,,,
9,0.100155191,,,,,,,,,,,,,,,,,
10,0.100087647,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
