,datadate,gvkey1,gvkey2,score,roe_spread,rd/rev_spread,MARKCAP_1,MARKCAP_2
72,2010,REGN,PDLI,0.0365,-0.089283083,-0.066016262,2864023.54,869957.2
73,2010,PRGO,PFE,0.0333,0.037428524,-0.127725025,5847702.21,140254242
74,2010,BMY,PDLI,0.0315,-0.021124083,-0.828439065,45325418.8,869957.2
75,2010,PRGO,LLY,0.0309,-0.0274988,-0.196830088,5847702.21,40406130.72
76,2010,TECH,ALXN,0.0263,0.0180433,-0.077221509,2437604.73,7369841.7
77,2010,IART,AMGN,0.0253,-0.006218378,-0.15073116,1349610.9,51166800
78,2010,MRK,PRGO,0.0216,-0.075821361,0.323007071,111034951.2,5847702.21
79,2010,ALXN,IART,0.0213,-0.006252654,0.106580413,7369841.7,1349610.9
80,2010,PDLI,AMGN,0.0191,0.011382711,0.804647383,869957.2,51166800
81,2010,TECH,REGN,0.0174,0.08347264,-0.860003377,2437604.73,2864023.54
82,2010,TECH,AMGN,0.0162,0.005572268,-0.121372256,2437604.73,51166800
83,2010,ALXN,PRGO,0.0151,-0.036976283,0.140854452,7369841.7,5847702.21
84,2010,ALXN,PDLI,0.0137,-0.023853743,-0.84879813,7369841.7,869957.2
85,2010,MRK,IART,0.0133,-0.045097732,0.288733032,111034951.2,1349610.9
86,2010,REGN,IART,0.013,-0.071681993,0.889362281,2864023.54,1349610.9
87,2010,MYL,REGN,0.0114,0.04321284,-0.900715348,9215004.3,2864023.54
88,2010,VRTX,IART,0.0083,-0.390751741,2.266432699,7129410.69,1349610.9
89,2010,IART,LLY,0.0051,-0.058222429,-0.16255605,1349610.9,40406130.72
90,2010,PRGO,VRTX,0.005,0.42147537,-2.300706738,5847702.21,7129410.69
91,2010,BMRN,PDLI,0.0045,-0.036840628,-0.609665119,2979373.62,869957.2
92,2010,IDXX,MYL,0.0042,0.054549436,0.005033896,3967067.42,9215004.3
93,2010,PDLI,LLY,0.0027,-0.04062134,0.792822494,869957.2,40406130.72
94,2010,IDXX,AMGN,0.0004,0.019861905,-0.157050331,3967067.42,51166800
95,2010,BMY,IART,0.0003,-0.003522994,0.126939478,45325418.8,1349610.9
96,2011,UTHR,BMRN,0.2597,0.081364033,-0.282180173,2533072.5,3946480.2
97,2011,BMY,LLY,0.1975,-0.01108989,-0.038113775,59715307.68,48116588.72
98,2011,BMY,PFE,0.1881,0.034514256,0.027046617,59715307.68,166345965.9
99,2011,BMY,GILD,0.185,-0.044863312,0.006282031,59715307.68,30824628.58
100,2011,VRTX,UTHR,0.1656,0.123045306,0.020055356,6950985.84,2533072.5
101,2011,AMGN,BMY,0.1578,-0.007829282,0.027768,51085476,59715307.68
102,2011,UTHR,ALXN,0.1551,0.003960027,0.098184985,2533072.5,13264608.5
103,2011,LLY,PFE,0.1531,0.045604147,0.065160392,48116588.72,166345965.9
104,2011,BMRN,VRTX,0.1526,-0.204409339,0.262124817,3946480.2,6950985.84
105,2011,UTHR,BMY,0.1513,-0.006073508,0.06783416,2533072.5,59715307.68
106,2011,ALXN,BMRN,0.15,0.077404006,-0.380365158,13264608.5,3946480.2
107,2011,VRTX,ALXN,0.1465,0.127005333,0.118240341,6950985.84,13264608.5
108,2011,UTHR,AMGN,0.1423,0.001755774,0.04006616,2533072.5,51085476
