Month,S/L,S/M,S/H,B/L,B/M,B/H,Russell 3000,T-Bill,RMRF,ΔTerm Spread,ΔYield Spread,%Δ in Oil Price
201711,2.44,2.8,2.6,3.47,3.11,3.22,3.04,0.08,3.12,0.79,0.7,9.81
201712,0.85,-0.72,0.06,0.87,1.21,1.93,1.00,0.09,1.06,0.7,0.71,2.19
201801,3.2,3.07,1.72,6.58,5.2,5.31,5.27,0.11,5.58,0.78,0.71,10.06
201802,-3.09,-3.74,-3.82,-2.45,-4.87,-4.09,-3.69,0.11,-3.65,0.9,0.69,-2.31
201803,1.12,0.98,1.86,-2.29,-2.31,-3.28,-2.01,0.12,-2.35,0.78,0.77,0.8
201804,1.13,1.19,2.23,0.6,0,0.58,0.38,0.14,0.29,0.72,0.82,5.61
201805,8.03,7.39,5.81,3.81,2.02,-0.3,2.82,0.14,2.65,0.71,0.83,5.63
201806,2.87,0.34,0.58,1.23,0.26,-1.24,0.65,0.14,0.48,0.58,0.87,-3.02
201807,1.3,2.24,1.1,3.29,3.49,4.35,3.32,0.16,3.19,0.5,0.92,4.58
201808,6,2.92,2.44,5.23,2.04,0.63,3.51,0.16,3.44,0.44,0.89,-4.11
201809,-1.84,-2.77,-2.64,0.77,0.11,-1.03,0.17,0.15,0.06,0.44,0.9,3.19
201810,-13.61,-11.36,-9.04,-8.57,-4.9,-6.26,-7.36,0.19,-7.68,0.5,0.93,0.74
201811,1.09,2.18,0.59,1.43,2.37,2.44,2.00,0.18,1.69,0.42,1,-19.49
201812,-12.28,-12.08,-12.58,-8.35,-9.7,-11,-9.31,0.19,-9.55,0.17,1.11,-13.06
201901,12.84,10.43,11.07,8.37,8.03,8.9,8.58,0.21,8.41,0.13,1.19,3.76
201902,6.5,5.21,3.39,3.76,3.95,1.19,3.52,0.18,3.4,0.13,1.16,6.95
201903,-0.62,-2.84,-4.32,2.82,0.42,-1.62,1.46,0.19,1.1,0.08,1.07,5.82
201904,2.43,4.12,3.15,4.2,3.19,7.34,3.99,0.21,3.96,0.11,1.01,9.82
201905,-7.1,-8.17,-9.86,-6.43,-6.66,-8.45,-6.47,0.21,-6.94,0.06,0.96,-4.74
201906,8.35,7.64,6.36,7.15,7.21,6.98,7.02,0.18,6.93,0.07,1.04,-10.14
201907,-0.65,0.53,-1.05,1.8,0.76,2.48,1.49,0.19,1.19,0.1,0.99,4.92
201908,-4.11,-5.96,-8.29,-1.05,-3.23,-6.86,-2.04,0.16,-2.58,-0.14,0.89,-4.43
201909,-2.46,3.85,5.72,0.3,3.97,5.54,1.76,0.18,1.44,-0.1,0.88,3.9
201910,4.66,2.33,0.56,2.53,1.79,2.48,2.15,0.15,2.06,0.1,0.91,-5.25
201911,6.2,3.08,3.86,4.34,3.24,2.96,3.80,0.12,3.87,0.24,0.88,5.69
201912,2.71,4.21,4.82,2.76,2.64,4.3,2.89,0.14,2.77,0.31,0.87,5
202001,-1.88,-4.27,-8.23,1.78,-2.46,-4.38,,0.13,-0.11,0.23,0.83,-3.94
202002,,,,,,,,,,0.09,0.83,
