date,T-Bill,RMRF,SMB,HML,UMD
198909,0.65,-0.76,0.28,-1.34,3.40
198910,0.68,-3.67,-3.30,-1.03,1.37
198911,0.69,1.03,-1.24,-1.12,2.58
198912,0.61,1.16,-2.41,0.28,2.81
199001,0.57,-7.85,-1.29,0.87,-3.28
199002,0.57,1.11,1.03,0.61,-0.53
199003,0.64,1.83,1.52,-2.90,1.65
199004,0.69,-3.36,-0.50,-2.55,2.40
199005,0.68,8.42,-2.57,-3.74,3.05
199006,0.63,-1.09,1.43,-1.94,2.43
199007,0.68,-1.90,-3.21,-0.01,5.93
199008,0.66,-10.15,-3.58,1.58,1.78
199009,0.60,-6.12,-3.67,0.73,5.53
199010,0.68,-1.92,-5.51,0.22,6.73
199011,0.57,6.35,0.33,-3.16,-5.62
199012,0.60,2.46,0.79,-1.54,0.16
199101,0.52,4.69,3.79,-1.84,-6.53
199102,0.48,7.19,3.95,-0.54,-4.73
199103,0.44,2.65,3.89,-1.23,2.83
199104,0.53,-0.28,0.50,1.42,-2.40
199105,0.47,3.65,-0.34,-0.57,-0.10
199106,0.42,-4.94,0.07,1.21,0.46
199107,0.49,4.24,-0.93,-1.25,4.31
199108,0.46,2.32,1.59,-0.78,1.63
199109,0.46,-1.59,1.63,-1.00,1.73
199110,0.42,1.29,0.90,-0.43,3.23
199111,0.39,-4.19,-0.48,-1.93,1.26
199112,0.38,10.84,-2.24,-4.03,8.30
199201,0.34,-0.59,8.47,4.51,-2.51
199202,0.28,1.09,0.88,6.37,-0.58
199203,0.34,-2.66,-1.03,3.65,-0.36
199204,0.32,1.07,-6.12,4.31,-2.60
199205,0.28,0.30,0.39,1.28,0.13
199206,0.32,-2.34,-3.09,3.40,-0.61
199207,0.31,3.77,-0.44,-0.53,1.44
199208,0.26,-2.38,-0.12,-1.03,-0.51
199209,0.26,1.19,0.56,-0.21,1.43
199210,0.23,1.02,2.05,-2.10,2.71
199211,0.23,4.13,3.70,-1.48,-0.34
199212,0.28,1.53,1.64,2.52,4.44
199301,0.23,0.93,2.03,5.87,4.83
199302,0.22,0.12,-3.43,6.42,3.10
199303,0.25,2.30,0.23,1.22,3.74
199304,0.24,-3.05,-0.70,2.61,0.33
199305,0.22,2.89,1.96,-3.41,0.30
199306,0.25,0.31,-0.31,2.62,4.58
199307,0.24,-0.34,0.93,3.25,3.25
199308,0.25,3.71,0.31,-0.45,2.58
199309,0.26,-0.12,3.11,-0.44,3.41
199310,0.22,1.41,1.45,-1.54,-2.67
199311,0.25,-1.89,-1.42,-0.27,-4.71
199312,0.23,1.65,1.22,0.57,2.28
199401,0.25,2.87,0.15,2.09,0.02
199402,0.21,-2.55,2.73,-1.45,-0.29
199403,0.27,-4.78,-0.98,1.29,-1.33
199404,0.27,0.68,-0.92,1.68,0.41
199405,0.31,0.58,-2.01,0.20,-2.15
199406,0.31,-3.03,-0.45,1.69,-0.82
199407,0.28,2.82,-1.72,0.62,0.19
199408,0.37,4.01,1.34,-2.81,1.56
199409,0.37,-2.31,2.83,-1.91,1.32
199410,0.38,1.34,-2.35,-1.74,1.43
199411,0.37,-4.04,0.26,-0.94,-0.20
199412,0.44,0.86,0.04,0.54,3.50
199501,0.42,1.80,-2.65,0.81,-1.82
199502,0.40,3.63,-0.67,1.09,-0.36
199503,0.46,2.19,-0.69,-1.10,0.39
199504,0.44,2.11,-0.63,2.27,1.80
199505,0.54,2.90,-2.21,1.72,-0.44
199506,0.47,2.72,2.93,-2.28,2.90
199507,0.45,3.72,2.09,-1.67,2.53
199508,0.47,0.55,1.59,2.71,0.09
199509,0.43,3.35,-2.11,-0.75,2.71
199510,0.47,-1.52,-3.75,-0.74,4.11
199511,0.42,3.96,-1.17,0.95,-0.64
199512,0.49,1.03,0.58,0.87,2.54
199601,0.43,2.26,-2.62,0.30,0.56
199602,0.39,1.33,1.88,-1.42,0.57
199603,0.39,0.73,1.31,1.01,-1.87
199604,0.46,2.06,4.91,-3.91,-0.91
199605,0.42,2.36,3.05,-1.20,1.55
199606,0.40,-1.14,-3.58,1.56,1.01
199607,0.45,-5.97,-3.84,4.45,-0.11
199608,0.41,2.77,2.30,-0.46,-0.05
199609,0.44,5.01,-0.88,-3.15,2.70
199610,0.42,0.86,-4.44,5.12,3.91
199611,0.41,6.25,-3.89,1.16,-2.23
199612,0.46,-1.70,3.20,0.89,0.61
199701,0.45,4.98,-1.84,-1.65,1.95
199702,0.39,-0.49,-2.90,5.20,-2.05
199703,0.43,-5.02,-0.38,3.81,0.96
199704,0.43,4.04,-5.65,-0.07,4.92
199705,0.49,6.74,4.89,-3.87,-5.16
199706,0.37,4.10,1.33,1.23,2.62
199707,0.43,7.33,-2.80,0.82,3.81
199708,0.41,-4.15,7.31,1.38,-2.55
199709,0.44,5.35,2.61,0.01,1.45
199710,0.42,-3.80,-0.68,1.95,-0.38
199711,0.39,2.98,-4.95,0.79,0.29
199712,0.48,1.32,-2.35,3.45,3.95
199801,0.43,0.15,-1.16,-1.45,0.11
199802,0.39,7.04,0.00,-0.13,-1.15
199803,0.39,4.76,-0.93,1.05,2.15
199804,0.43,0.73,0.20,0.74,0.78
199805,0.40,-3.07,-3.74,4.16,1.88
199806,0.41,3.18,-3.16,-2.33,7.26
199807,0.40,-2.46,-5.12,-0.96,3.68
199808,0.43,-16.08,-5.31,3.40,1.88
199809,0.46,6.15,-0.14,-3.31,-0.71
199810,0.32,7.13,-3.29,-2.21,-5.36
199811,0.31,6.10,1.07,-3.15,1.16
199812,0.38,6.16,-0.35,-4.46,8.99
199901,0.35,3.50,0.37,-4.03,3.04
199902,0.35,-4.08,-5.67,1.40,-0.16
199903,0.43,3.45,-3.93,-2.65,-1.29
199904,0.37,4.33,4.00,2.53,-9.06
199905,0.34,-2.46,3.42,2.40,-5.28
199906,0.40,4.77,3.05,-3.60,4.88
199907,0.38,-3.49,2.67,-0.76,1.51
199908,0.39,-1.38,-1.27,-1.31,2.92
199909,0.39,-2.79,3.33,-3.40,6.46
199910,0.39,6.12,-6.95,-2.88,5.47
199911,0.36,3.37,7.37,-6.51,5.62
199912,0.44,7.72,7.12,-8.74,13.19
200001,0.41,-4.74,4.95,-0.29,1.86
200002,0.43,2.45,21.70,-9.93,18.36
200003,0.47,5.20,-16.86,7.38,-6.39
200004,0.46,-6.40,-7.73,8.61,-8.58
200005,0.50,-4.42,-5.11,2.56,-9.08
200006,0.40,4.64,13.85,-9.86,16.59
200007,0.48,-2.51,-2.76,8.06,-0.11
200008,0.50,7.03,-1.15,-0.66,5.70
200009,0.51,-5.45,-1.32,6.13,2.20
200010,0.56,-2.76,-3.80,5.64,-4.63
200011,0.51,-10.72,-2.77,11.26,-2.40
200012,0.50,1.19,0.96,7.37,6.70
200101,0.54,3.13,6.54,-4.86,-25.05
200102,0.38,-10.05,-0.72,12.87,12.51
200103,0.42,-7.26,0.34,6.46,8.35
200104,0.39,7.94,0.54,-4.72,-7.97
200105,0.32,0.72,2.59,3.18,2.12
200106,0.28,-1.94,6.03,-1.03,0.34
200107,0.30,-2.13,-4.35,5.57,5.47
200108,0.31,-6.46,2.50,2.51,5.54
200109,0.28,-9.25,-6.12,1.60,11.54
200110,0.22,2.46,7.63,-8.10,-8.41
200111,0.17,7.54,-0.41,2.01,-8.58
200112,0.15,1.61,4.57,1.10,-0.02
200201,0.14,-1.44,1.19,3.33,3.68
200202,0.13,-2.29,-1.10,2.50,6.76
200203,0.13,4.24,4.23,1.10,-1.66
200204,0.15,-5.20,5.94,3.92,7.95
200205,0.14,-1.38,-3.21,1.68,2.97
200206,0.13,-7.21,4.27,0.12,6.15
200207,0.15,-8.18,-5.30,-3.44,3.34
200208,0.14,0.50,-2.44,2.52,1.76
200209,0.14,-10.35,2.57,1.32,9.09
200210,0.14,7.84,-2.91,-5.45,-5.30
200211,0.12,5.96,2.84,-1.12,-16.17
200212,0.11,-5.76,0.01,2.23,9.64
200301,0.10,-2.57,1.39,-0.93,1.61
200302,0.09,-1.88,-0.34,-1.45,1.25
200303,0.10,1.09,0.89,-2.08,1.61
200304,0.10,8.22,0.56,1.03,-9.46
200305,0.09,6.05,4.69,-0.29,-10.77
200306,0.10,1.42,1.67,0.68,-1.06
200307,0.07,2.35,5.24,-1.13,-0.31
200308,0.07,2.34,2.60,2.03,-0.56
200309,0.08,-1.24,0.80,0.01,-0.19
200310,0.07,6.08,2.68,1.77,3.73
200311,0.07,1.35,2.02,1.85,1.62
200312,0.08,4.29,-3.00,2.41,-5.71
200401,0.07,2.15,2.80,1.97,2.60
200402,0.06,1.40,-1.43,0.50,-1.10
200403,0.09,-1.32,1.75,0.22,0.21
200404,0.08,-1.83,-2.06,-2.62,-5.39
200405,0.06,1.17,-0.21,-0.39,1.60
200406,0.08,1.86,2.26,1.39,2.10
200407,0.10,-4.06,-3.81,4.12,-2.29
200408,0.11,0.08,-1.62,1.02,-1.55
200409,0.11,1.60,3.04,-0.25,5.25
200410,0.11,1.43,0.31,-0.62,-1.52
