date,AMGN,PFE,TECH,REGN
2003-08,-0.12026600000000001,-0.173118,-0.028243000000000004,-0.08233800000000001
2003-09,-0.101535,-0.064626,-0.13611600000000001,0.08173599999999999
2003-10,-0.11277700000000002,-0.029842000000000007,0.025627999999999998,-0.286752
2003-11,-0.137034,-0.007658000000000005,-0.038131000000000005,-0.139364
2003-12,-0.007628999999999997,-0.027572,-0.027134,0.06208100000000001
2004-01,-0.023552000000000003,-0.033204000000000004,-0.04410100000000001,-0.05980300000000001
2004-02,-0.077492,-0.059454,-0.016980999999999996,-0.107106
2004-03,-0.17467,-0.133656,-0.082591,-0.13096
2004-04,-0.109923,-0.059743000000000004,-0.121187,-0.15732000000000002
2004-05,-0.090314,-0.071745,-0.069205,-0.16375099999999998
2004-06,-0.082377,-0.10999400000000001,0.04128999999999999,-0.142333
2004-07,-0.057669000000000005,-0.167678,-0.184005,-0.287084
2004-08,-0.06763,-0.087785,-0.136633,-0.069112
2004-09,-0.151828,-0.173361,-0.124455,-0.135814
2004-10,-0.110176,-0.163922,-0.166574,-0.272442
2004-11,-0.09295799999999999,-0.19075999999999999,-0.111688,0.11822600000000003
2004-12,-0.091546,-0.191689,-0.119893,-0.161085
2005-01,-0.189774,-0.261525,-0.263599,-0.378241
2005-02,-0.170122,-0.071838,-0.182369,-0.311389
2005-03,-0.265186,-0.210761,-0.031354999999999994,-0.373666
2005-04,-0.21,-0.17574,-0.170926,-0.11997999999999999
2005-05,-0.164927,-0.213132,-0.123832,-0.12150799999999999
2005-06,-0.26387700000000003,-0.24147000000000002,-0.244807,0.11671000000000001
2005-07,0.07938499999999998,-0.279159,-0.17117,-0.09101299999999998
2005-08,-0.29836999999999997,-0.338491,-0.139005,-0.525104
2005-09,-0.292879,-0.31001599999999996,-0.28982399999999997,-0.019584999999999964
2005-10,-0.32083500000000004,-0.399355,-0.317736,0.048229999999999995
2005-11,-0.239781,-0.334839,-0.29157,-0.417114
2005-12,-0.345578,-0.22,-0.305161,0.10345599999999999
2006-01,-0.42570399999999997,-0.248799,-0.33626999999999996,-0.392138
2006-02,-0.30446700000000004,-0.32014000000000004,-0.293914,-0.26514800000000005
2006-03,-0.406169,-0.418492,-0.358734,-0.354117
2006-04,-0.429416,-0.343547,-0.417865,-0.48687899999999995
2006-05,-0.431625,-0.49593,-0.464945,-0.538815
2006-06,-0.434916,-0.40803,-0.468764,-0.409274
2006-07,-0.33132,-0.29262900000000003,-0.42415600000000003,-0.334477
2006-08,-0.4441,-0.35959199999999997,-0.395649,-0.257482
2006-09,-0.358552,-0.380972,-0.410786,-0.421965
2006-10,-0.348767,-0.470296,-0.31129799999999996,-0.13211599999999996
2006-11,-0.484155,-0.38848,-0.45775899999999997,-0.347182
2006-12,-0.438429,-0.457839,-0.36875600000000003,-0.466946
