,AMGN,PFE,TECH,REGN
AMGN,0.028751151615394533,0.0007263441205531947,0.0034285921352895576,0.009935293100830675
PFE,0.0007263441205531948,0.02332655931925063,7.777333062183986e-05,-0.002577176098376887
TECH,0.003428592135289557,7.777333062183975e-05,0.03648179648014138,0.028330624992650644
REGN,0.009935293100830677,-0.0025771760983768865,0.028330624992650648,0.2661199028391572
